salesgrwoth,ltassets,gdpgrowth,debtassets,roa,liquidity,lemployee
-0.107161,5.14147,6.9,0.069822682,-0.557709,1.47949,2.39445
1.70484,5.36158,6.7,0.032232951,0.074517,0.747357,2.52114
4.4922,4.09708,7.86,0,0.203163,0.085177,1.4624
0.077859,4.1181,7.76,0,0.136569,1.14497,1.43136
0.372837,4.30053,7.3,0.0810432,-0.025212,1.08875,1.59106
20.764,5.61499,6.9,0.035984683,0.224776,3.67773,1.91381
0.911039,5.68368,6.7,0.052046065,0.180076,3.92789,2.61595
0.474348,5.1385,9.4,0.135305278,0.195986,2.16187,2.4843
0.081602,5.20917,10.64,0.194557361,0.225578,2.14519,2.54777
0.136504,5.34073,9.54,0.217672237,0.269278,1.75675,2.56585
0.387795,5.40509,7.86,0.154567417,0.233577,2.19466,2.61278
0.091177,5.48207,7.76,0.220769249,0.162777,1.878,2.60959
0.190191,5.6026,7.3,0.288926731,0.153604,1.5648,2.60746
0.315297,5.70938,6.9,0.238054326,0.135863,1.89125,2.64542
0.237727,5.72189,6.7,0.229390695,0.121809,1.9254,2.67852
-0.012917,4.5811,7.86,0.031641086,0.04117,4.92035,2.5977
0.066536,4.58756,7.76,0.031121565,0.045302,4.47282,2.59106
-0.038979,4.5849,7.3,0.032223667,0.047385,5.21374,2.57287
-0.225288,4.54911,6.9,0.034143862,-0.113773,4.4647,2.51455
-0.027191,4.51652,6.7,0,0.05258,6.58422,2.35984
-0.218365,4.98966,7.86,0,0.034125,12.8411,2.69548
-0.002591,4.98064,7.76,0,0.023631,15.8818,2.6902
0.267953,5.13057,7.3,0.060597311,0.021903,1.47653,2.64147
0.074231,5.142,6.9,0.116235803,0.008097,1.50859,2.66932
0.366618,5.28563,6.7,0.407985122,0.013373,1.23882,2.65896
0.052454,5.04179,7.86,0.17106267,0.075475,2.22122,2.38561
0.337469,5.04583,7.76,0.157158283,0.122722,2.05814,2.59439
0.112635,5.03436,7.3,0.161420269,0.075582,2.34929,2.60423
0.002711,5.04587,6.9,0.195089033,0.049419,2.19098,2.58995
0.507442,5.10023,6.7,0.254646353,0.070927,1.73895,2.63448
-0.079394,5.22114,7.86,0.298870746,0.018175,1.97851,2.4183
0.139692,5.2929,7.76,0.361472115,0.038384,1.19235,2.43775
0.503484,5.41494,7.3,0.236917112,0.040856,0.815594,2.5955
-0.129888,5.46485,6.9,0.389724968,0.025263,0.79868,2.45637
-0.170183,5.43445,6.7,0.342823625,0.017375,0.697774,2.30963
0.510212,5.06462,7.86,0,0.18471,4.09647,2.31175
0.250939,5.10284,7.76,0.002201722,0.183074,4.14474,2.51055
